task,model,subject,session,accuracy,balanced_accuracy,f1_score,kappa,loss,n_subjects,loso_acc_mean,loso_acc_std,loso_balacc_mean,loso_f1_mean,loso_kappa_mean
speech_mode,EEGMamba,13,01,0.65098,0.65098,0.648851,0.476471,0.985277,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,13,02,0.572549,0.572549,0.577076,0.358824,1.294171,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,14,01,0.615686,0.615686,0.60955,0.423529,0.948684,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGNetv4,01,01,0.691503,0.691503,0.68515,0.537255,0.718469,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,02,01,0.482353,0.482353,0.483285,0.223529,1.236331,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,03,01,0.538562,0.538562,0.527466,0.307843,0.947757,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,04,01,0.534641,0.534641,0.532171,0.301961,1.061089,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,04,02,0.648366,0.648366,0.644191,0.472549,0.824177,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,05,01,0.648366,0.648366,0.64157,0.472549,0.71662,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,05,02,0.677124,0.677124,0.656618,0.515686,0.716158,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,06,01,0.550327,0.550327,0.551165,0.32549,0.988252,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,07,01,0.51634,0.51634,0.463774,0.27451,1.117059,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,08,01,0.698039,0.698039,0.696958,0.547059,0.683882,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,09,01,0.541176,0.541176,0.541262,0.311765,0.999153,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,09,02,0.718954,0.718954,0.720885,0.578431,0.726402,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,10,01,0.722876,0.722876,0.722065,0.584314,0.698091,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,11,01,0.49281,0.49281,0.500466,0.239216,1.034316,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,12,01,0.619608,0.619608,0.614793,0.429412,0.879023,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,12,02,0.681046,0.681046,0.67564,0.521569,0.754334,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,13,01,0.72549,0.72549,0.726572,0.588235,0.629032,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,13,02,0.675817,0.675817,0.682076,0.513725,0.742993,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,EEGNetv4,14,01,0.653595,0.653595,0.645082,0.480392,0.744061,14,0.612979,0.080065,0.612979,0.606664,0.419468
speech_mode,LaBraM,01,01,0.687582,0.687582,0.678351,0.531373,0.717797,14,0.573296,0.072921,0.573296,0.562224,0.359944
speech_mode,LaBraM,02,01,0.440523,0.440523,0.433221,0.160784,1.591589,14,0.573296,0.072921,0.573296,0.562224,0.359944
speech_mode,LaBraM,03,01,0.526797,0.526797,0.508103,0.290196,2.063798,14,0.573296,0.072921,0.573296,0.562224,0.359944
